"pid","S1","S2","S3","A0","S4_Android","S4_Gmail","S4_Google_Chrome","S4_Google_Drive","S4_Google_Maps","S4_Google_News","S4_Google_Pay","S4_Google_Play_Store","S4_Google_Search","S4_YouTube","S5","IUIPC1","IUIPC2","IUIPC3","IUIPC4","IUIPC5","IUIPC6","IUIPC7","IUIPC8","IUIPC9","IUIPC10","Q1","Q2","Q2_A","Q3","Q3_A","Q4","Q5","Q6","A1","Q7_1","Q7_2","Q7_3","Q7_A_1","Q7_A_2","Q7_A_3","Q7_B_1","Q7_B_2","Q7_B_3","Q8","Q9","Q10_recent_search","Q11_recent_search","Q12_recent_search","Q13_recent_search","Q14_recent_search","Q10_recent_youtube","Q11_recent_youtube","Q12_recent_youtube","Q13_recent_youtube","Q14_recent_youtube","Q10_recent_maps","Q11_recent_maps","Q12_recent_maps","Q13_recent_maps","Q14_recent_maps","Q10_threemonth_search","Q11_threemonth_search","Q12_threemonth_search","Q13_threemonth_search","Q14_threemonth_search","Q10_threemonth_youtube","Q11_threemonth_youtube","Q12_threemonth_youtube","Q13_threemonth_youtube","Q14_threemonth_youtube","Q10_threemonth_maps","Q11_threemonth_maps","Q12_threemonth_maps","Q13_threemonth_maps","Q14_threemonth_maps","Q10_eighteenmonth_search","Q11_eighteenmonth_search","Q12_eighteenmonth_search","Q13_eighteenmonth_search","Q14_eighteenmonth_search","Q10_eighteenmonth_youtube","Q11_eighteenmonth_youtube","Q12_eighteenmonth_youtube","Q13_eighteenmonth_youtube","Q14_eighteenmonth_youtube","Q10_eighteenmonth_maps","Q11_eighteenmonth_maps","Q12_eighteenmonth_maps","Q13_eighteenmonth_maps","Q14_eighteenmonth_maps","Q15_1","Q15_2","Q16","Q17","Q18","Q19","Q20_web","Q20_youtube","Q20_maps","Q20_A","Q21","A2","Q22","Q22_A","Q23","Q23_A","Q24","Q24_A","Q25","Q25_A","Q25_B","Q25_C","Q26","Q26_A","Q27","Q27_A","D1","D2","D3","D4","oldest_activity","activities_total"
75,"Yes","More than five years","Gmail, Android, Google Chrome, Google Drive, Google Play Store, Google Maps, YouTube, Google Search","No","Always","Always","Always","Always","Always",NA,NA,"Always","Always","Always","Important","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Agree","Agree","Strongly agree","Somewhat aware","Moderately concerned","I do not want them taking my info that they shouldn't be taking","Rarely","The ads that I get most of the times are even geared towards for me.","no not really","Nothing it is normal","Yes","Round","To see what i do","Check history","just look at it","Extremely beneficial","Extremely beneficial","Extremely beneficial","Moderately harmful","Moderately harmful","Not at all harmful","Selling info to other companies","Strongly disagree","Yes","Yes","Strongly disagree","Greatly harms my experience","Immediately, I do not want this data to be collected","Yes","No","Strongly disagree","Greatly harms my experience","Immediately, I do not want this data to be collected","No","Yes","Strongly disagree","Slightly harms my experience","Immediately, I do not want this data to be collected","No","No","Strongly disagree","Harms my experience","Immediately, I do not want this data to be collected","Yes","No","Strongly agree","Greatly improves my experience","After 18 months","No","No","Strongly disagree","Does not change my experience","I wouldn't delete","No","No","Strongly disagree","Does not change my experience","Immediately, I do not want this data to be collected","Yes","Yes","Agree","Improves my experience","After 18 months","No","No","Strongly disagree","Does not change my experience","Immediately, I do not want this data to be collected","suprised","akward",0,"Appropriate","Appropriate","Inappropriate","Delete after 3 months","Delete after 3 months","Delete after 3 months","yes so it is not stored for long","Google still collects activity data about me, but does not associate it with my account","Red","Neither agree nor disagree","I just believe they use people's info for money","Yes","Chang and delete my history","Unsure","Probaly what my searches are","Yes","So they do not collect tha much data from me","","","Extremely concerned","They should not have access to alll my info","Rarely","My searches or ads are not that personalized","Woman","25 - 34","Bachelor's degree","Prefer not to disclose",2013-11-29,35122
76,"Yes","More than five years","Android, Gmail, Google Chrome, Google Drive, Google Maps, YouTube, Google Search, Google Play Store, Google News","No","Always","Always","Always","Rarely","Often","Often",NA,"Sometimes","Always","Always","Very important","Somewhat agree","Somewhat agree","Somewhat agree","Agree","Agree","Somewhat disagree","Disagree","Disagree","Disagree","Disagree","Somewhat aware","Slightly concerned","I actually have a browser extension that allows Google, via Screenwise Panel, to collect all my browsing data until I log out. I have been doing that for years, so I don't know how much they collect on their own, but I pretty much trust that they're not using it nefariously. ","Often","Well I get $30 a month to let them use the browser extension and router like I mentioned, but other than that I guess there's a little benefit in them tailoring ads to try to make them relevant to me.","No, I do not.","It looks about the same as browsing history, just a little more organized.","No","Round","To sell to advertisers.","To use for their own research about developing new Google things.","To keep a record for the user? I really have no idea.","Slightly beneficial","Moderately beneficial","Somewhat beneficial","Somewhat harmful","Slightly harmful","Not at all harmful","Well the fact that other people might be able to access it if there was a breach.","Agree","Yes","Yes","Agree","Slightly improves my experience","After a month","Yes","Yes","Agree","Improves my experience","After a month","No","Unsure","Agree","Improves my experience","After a month","No","Yes","Agree","Does not change my experience","After a month","Yes","Yes","Agree","Slightly improves my experience","After a month","No","Yes","Agree","Slightly improves my experience","After a month","Yes","Yes","Disagree","Does not change my experience","After a month","No","Yes","Disagree","Does not change my experience","After a month","No","Yes","Neither agree nor disagree","Does not change my experience","After a month","Boredom","Calm",1,"Appropriate","Appropriate","Slightly appropriate","Delete after 3 months","Delete after 3 months","Delete after 18 months","I'm not sure. I can't decide if something would be helpful a year from now or if I'm uncomfortable with it bringing up past stuff.","Google still collects activity data about me and still associates it with my account, but simply does not display it on the My Activity page.","Red","Disagree","I already knew Google saved all that.","No","I might have it store stuff for less time, but to be honest it doesn't really bother me.","No","Maybe web searches or YouTube videos I've watched that are no one's business.","No","","I don't need to. I don't really know any new information and the stuff that Google collects does not bother me.","","Slightly concerned","I don't feel like Google is doing anything harmful with it.","Sometimes","I like to see something I searched before if I've forgotten.","Woman","45 - 54","Associate degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2011-09-12,43525
77,"Yes","Five years","Android, Gmail, Google Chrome, Google Drive, Google Maps, Google Play Store, Google Search, YouTube","No","Often","Sometimes","Always","Rarely","Often",NA,NA,"Sometimes","Often","Sometimes","Important","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Extremely aware","Moderately concerned","Google is collecting so much personal data in so many ways, it is easy for them to manipulate you and your decision making.","Rarely","I pay very little attention to ads on social media or on my phone. But, on rare occasions, an ad or story targeting me will catch my attention.","I often use a different search engine. I try to avoid signing into sites using my google account.","It is accurate. Not a surprise to see such a log.","Unsure","Round","As a history of my internet use","To tailor google search to my interests","To place targeted ads on sites I visit often","Slightly beneficial","Somewhat beneficial","Slightly beneficial","Slightly harmful","Somewhat harmful","Somewhat harmful","I am concerned that collecting info in this way is a sneaky invasion of privacy more for Google's gain than my benefit.","Agree","Yes","Yes","Neither agree nor disagree","Slightly improves my experience","After a month","Yes","No","Strongly disagree","Slightly harms my experience","Immediately, I do not want this data to be collected","Yes","Yes","Strongly disagree","Slightly improves my experience","After a day","Yes","Yes","Neither agree nor disagree","Slightly improves my experience","After a month","Yes","No","Disagree","Slightly harms my experience","Immediately, I do not want this data to be collected","Yes","Unsure","Disagree","Does not change my experience","After a week","Yes","Yes","Disagree","Slightly improves my experience","After a day","Yes","No","Disagree","Slightly harms my experience","Immediately, I do not want this data to be collected","Yes","Unsure","Strongly disagree","Does not change my experience","After a week","Surprised","undecided",5,"Appropriate","Slightly inappropriate","Slightly appropriate","Delete after 18 months","Delete immediately","Delete after 3 months","Storing activities on YouTube makes it more difficult to find new topics. Storing web activities is quite useful when doing research projects. Storing maps can be useful in the short term, but not that much in the long term.","Google no longer collects activity data about me","Red","Neither agree nor disagree","It's clear Google collects everything, in myriad ways.","Yes","The YouTube settings","No","Probably nothing","Unsure","","","I am aware of the data collecting activity but ambiguous about whether the harm outweighs the help. ","Somewhat concerned","Google is collecting data to create such personalized experiences for each user that it becomes manipulative","Sometimes","A personalized Google search engine can be very useful when doing research projects. It is handy to get suggestions recalling sites you want to revisit, etc.","Woman","55 - 64","Some college credit, no degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2015-08-17,20639
78,"Yes","More than five years","Gmail, Google Drive, Google Search, YouTube, Google Maps, Google Chrome","No",NA,"Always","Always","Sometimes","Always",NA,NA,NA,"Always","Always","Very important","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Agree","Moderately aware","Not at all concerned","I really have nothing to hide and I feel it is for the greater good. I am not significant.","Sometimes","I don't really have a clear cut answer for this","I don't really","It seemed simple.","No","Round","Track our activity","Predict our interests","Not so sure","Slightly beneficial","Moderately beneficial","Somewhat beneficial","Somewhat harmful","Slightly harmful","Slightly harmful","No I do not have any other concerns!","Strongly agree","Yes","Yes","Strongly agree","Greatly improves my experience","I wouldn't delete","Yes","Yes","Strongly agree","Improves my experience","I wouldn't delete","Yes","Yes","Strongly agree","Greatly improves my experience","I wouldn't delete","Yes","Yes","Strongly agree","Greatly improves my experience","I wouldn't delete","Yes","Yes","Strongly agree","Greatly improves my experience","I wouldn't delete","Yes","Yes","Strongly agree","Greatly improves my experience","I wouldn't delete","Yes","Yes","Strongly agree","Greatly improves my experience","I wouldn't delete","Yes","Yes","Strongly agree","Greatly improves my experience","I wouldn't delete","Yes","Yes","Strongly agree","Greatly improves my experience","I wouldn't delete","Pretty Normal","Feel good",86,"Absolutely appropriate","Absolutely appropriate","Absolutely appropriate","No change","No change","No change","However long Google would like.","Google still collects activity data about me and still associates it with my account, but simply does not display it on the My Activity page.","Red","Strongly agree","It gives you insight on your searches","No","Not applicable","No","Not applcable","No","","Because I use it the way it is intended!","","Not at all concerned","Because I trust google.","Sometimes","Its' algorithn gives me insight","Man","18 - 24","High school graduate, diploma, or equivalent (e.g., GED, Abitur, baccalaureat)","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2009-08-08,0
79,"Yes","More than five years","Gmail, Google Chrome, Google Drive, Google Maps, YouTube, Google Search, Google Play Store","No",NA,"Always","Always","Often","Often",NA,NA,"Sometimes","Always","Often","Very important","Agree","Somewhat agree","Somewhat agree","Strongly agree","Agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Moderately aware","Slightly concerned","I don't really care - it gives me better information.","Sometimes","I get concerned when I watch documentaries but overall I am not too worried.","I do not.","It was interesting to see a lot of activity is there.","No","Round","To learn more about our preferences","To learn what to target at us for advertising","To make money via advertising","Moderately beneficial","Slightly beneficial","Not at all beneficial","Slightly harmful","Somewhat harmful","Moderately harmful","Not really - I but what I want to buy and do extensive research. ","Agree","Yes","No","Neither agree nor disagree","Does not change my experience","After a week","Yes","No","Disagree","Does not change my experience","After 3 months","Yes","Unsure","Agree","Improves my experience","After 3 months","No","No","Neither agree nor disagree","Does not change my experience","After a month","Yes","No","Neither agree nor disagree","Does not change my experience","After a week","Yes","No","Disagree","Does not change my experience","After a month","No","No","Neither agree nor disagree","Does not change my experience","After a month","Yes","No","Disagree","Does not change my experience","After a day","Yes","No","Disagree","Does not change my experience","After a month","Concerned","Crazy they know so much",0,"Slightly appropriate","Neutral","Slightly appropriate","Delete after 3 months","Delete after 3 months","Delete after 3 months","Enough time to go back to something but not forever.","Google still collects activity data about me, but does not associate it with my account","Round","Agree","You can see your history and what and why its stored.","No","NOthing right now","Unsure","MAybe you tube videos etc...","No","","I am not concerned at the moment","","Slightly concerned","I just don't worry about that. ","Often","It helps me get things done faster.","Woman","45 - 54","Master's degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2006-08-13,62762
80,"Yes","Three years","Gmail, Google Chrome, Google Maps, Google Drive, Google Search, YouTube","No",NA,"Sometimes","Often","Sometimes","Sometimes",NA,NA,NA,"Always","Often","Very important","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Somewhat aware","Moderately concerned","It's something I don't like, but I guess I feel like there's not much I can do about it and there are a lot of other issues that are more important in my life (not that this is unimportant thought).","Sometimes","I do articles and other information that interest me.","I don't, but maybe I should.","I definitely learned some things. I had no idea such a page existed.","No","Round","keep track of your searches so it learns your interests and can tailor ads that way","learns many things about your daily life","tries to get you hooked on all purchasing many products from its advertisers","Slightly beneficial","Not at all beneficial","Not at all beneficial","Moderately harmful","Extremely harmful","Extremely harmful","It's that big brother is constantly looking over my shoulder type of feeling.","Neither agree nor disagree","Yes","No","Disagree","Slightly harms my experience","After a day","Yes","No","Strongly disagree","Slightly harms my experience","After a day","Yes","No","Disagree","Slightly harms my experience","After a day","Yes","No","Disagree","Slightly harms my experience","After a day","Yes","No","Disagree","Slightly harms my experience","After a day","Yes","No","Disagree","Slightly harms my experience","After a day","Yes","No","Disagree","Slightly harms my experience","After a day","Yes","No","Disagree","Slightly harms my experience","After a day","Yes","No","Disagree","Slightly harms my experience","After a day","Threatened a bit since Google is on top of everything I do online (not necessarily in a positive way either)","powerless",3,"Neutral","Neutral","Neutral","Delete after 3 months","Delete after 3 months","Delete after 3 months","Ideally, I'd like them deleted after a day or two. After that, I usually don't need things stored.","Google still collects activity data about me, but does not associate it with my account","Red","Strongly agree","I can see it all on screen.","Yes","to be able to delete stuff sooner","Yes","pretty much everything","Unsure","","","I probably will act on this, but I'm just so buys with other things.","Somewhat concerned","It's a concern, but, again, I've got so many other concerns that a higher priority at the moment.","Rarely","Google learns my interests, which can be helpful, but scary too.","Man","55 - 64","Master's degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2017-02-24,8580
81,"Yes","More than five years","Gmail, Google Chrome, Google Drive, Google Maps, Google Search, YouTube","No",NA,"Always","Always","Always","Always",NA,NA,NA,"Always","Always","Very important","Agree","Somewhat agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Slightly aware","Moderately concerned","I am concerned with the security of the information google stores and how its used ","Sometimes","Google uses its information to provide me targeted information and services ","I do not","The page stores all of my browser history .","Yes","Round","Advertisement ","targeted services ","predictions ","Not at all beneficial","Moderately beneficial","Moderately beneficial","Slightly harmful","Slightly harmful","Slightly harmful","My concern mostly is the security of how google stores their information about you ","Neither agree nor disagree","Yes","No","Neither agree nor disagree","Does not change my experience","After 3 months","Yes","No","Disagree","Slightly harms my experience","After a few hours","Yes","No","Strongly disagree","Greatly harms my experience","Immediately, I do not want this data to be collected","No","No","Neither agree nor disagree","Does not change my experience","Immediately, I do not want this data to be collected","Yes","Yes","Neither agree nor disagree","Slightly harms my experience","After a week","Yes","Yes","Neither agree nor disagree","Greatly harms my experience","Immediately, I do not want this data to be collected","Yes","Yes","Strongly disagree","Greatly harms my experience","Immediately, I do not want this data to be collected","Yes","No","Strongly disagree","Greatly harms my experience","Immediately, I do not want this data to be collected","No","Yes","Strongly disagree","Greatly harms my experience","Immediately, I do not want this data to be collected","Angry ","sad ",0,"Slightly inappropriate","Slightly inappropriate","Absolutely appropriate","Delete immediately","Delete immediately","Delete immediately","None of this information seems particularly useful for google to have ","Google still collects activity data about me, but does not associate it with my account","Red","Neither agree nor disagree","I didnt know it existed till now ","Yes","not sure i will be looking ionto it though to limit the amount of info that is stored ","Yes","ADult video ","Unsure","","","I likely wont change how I use google products ","Somewhat concerned","It seems like allot of information ","Sometimes","SOmetimes the target information may help me ","Man","18 - 24","Some college credit, no degree","I have an education in, or work in, the field of computer science, computer engineering or IT.",2013-10-02,24107
82,"Yes","More than five years","Android, Gmail, Google Chrome, Google Drive, Google Maps, YouTube, Google Search, Google Play Store, Google Pay, Google News","No","Always","Often","Often","Sometimes","Sometimes","Often","Rarely","Sometimes","Always","Often","Very important","Agree","Agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Agree","Somewhat agree","Extremely aware","Slightly concerned","I don't like that my privacy is being compromised, but overall I enjoy the convenience of the services and feel its worth it.","Often","I use the services daily and they make life easier.  Many of the services have become so commonplace that I don't really think about them day to day.","I run through the Google privacy checkup and use that as a strategy.","It is accurate and interesting to see.","Yes","Round","To sell ads.","To enhance the search suggestions.","To enhance AI.","Not at all beneficial","Extremely beneficial","Extremely beneficial","Slightly harmful","Not at all harmful","Not at all harmful","No other concerns.","Strongly agree","Yes","Yes","Strongly agree","Greatly improves my experience","After 3 months","Yes","Yes","Strongly agree","Greatly improves my experience","After 3 months","Yes","Yes","Agree","Improves my experience","After 3 months","Yes","Yes","Strongly agree","Greatly improves my experience","After 3 months","Yes","Yes","Agree","Improves my experience","After a month","Yes","Yes","Agree","Improves my experience","After 3 months","Yes","Yes","Strongly agree","Greatly improves my experience","After 3 months","Yes","Yes","Agree","Slightly improves my experience","After a month","Yes","Yes","Agree","Improves my experience","After 3 months","Curious","Nostalgia",4,"Absolutely appropriate","Slightly appropriate","Appropriate","Delete after 3 months","Delete after 3 months","Delete after 3 months","I would delete Youtube history more often than 3 months.  Everything else would be 3 months.","Google still collects activity data about me, but does not associate it with my account","Red","Strongly agree","It provides exact detail of activities.","Yes","I would set an auto delete for 3 months.","Yes","Maps and Youtube searches.","Yes","I would set auto deletes for maps and youtube.  I'm not concerned about privacy, but I feel like maps and youtube don't provide accurate suggestions based on history.","","","Slightly concerned","It is just a privacy concern.","Often","I used the services daily and enjoy the convenience. ","Man","45 - 54","Master's degree","I have an education in, or work in, the field of computer science, computer engineering or IT.",2016-02-22,11422
83,"Yes","More than five years","Android, Gmail, Google Chrome, Google Maps, Google Pay, Google Play Store, Google Search, YouTube","No","Always","Often","Always",NA,"Sometimes",NA,"Rarely","Sometimes","Always","Always","Important","Somewhat agree","Somewhat agree","Somewhat agree","Agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Moderately aware","Slightly concerned","It bothers me a little because i feel a bit crazy after talking about something and then getting ads for it but also doesnt bother me because google save this info could save someones life","Sometimes","because i get shown things i might want based off of other things i've looked up","I have none","i'm not surprised about it","Yes","Round","to find out something i looked for before","to see if anyone else is using my account","to remove things i dont want to be there","Extremely beneficial","Extremely beneficial","Extremely beneficial","Not at all harmful","Not at all harmful","Not at all harmful","i have none","Agree","Yes","Yes","Neither agree nor disagree","Does not change my experience","I wouldn't delete","Yes","Yes","Neither agree nor disagree","Does not change my experience","I wouldn't delete","Yes","Yes","Neither agree nor disagree","Does not change my experience","I wouldn't delete","Yes","Yes","Neither agree nor disagree","Does not change my experience","I wouldn't delete","Yes","Yes","Neither agree nor disagree","Does not change my experience","I wouldn't delete","No","Yes","Neither agree nor disagree","Does not change my experience","I wouldn't delete","No","Unsure","Neither agree nor disagree","Does not change my experience","I wouldn't delete","Yes","Yes","Agree","Does not change my experience","I wouldn't delete","No","No","Agree","Does not change my experience","I wouldn't delete","amused","surprised",5,"Absolutely appropriate","Absolutely appropriate","Absolutely appropriate","No change","No change","No change","I dont want to change them","Google still collects activity data about me, but does not associate it with my account","Red","Strongly agree","It lets me see what they collect","No","i would change them","No","I cant think of anything i'd need to review or delete","No","","I'm not bothered by what they collect","","Not at all concerned","I'm not looking for anything i wouldnt talk about","Sometimes","because it shows me things based of of things i like or have looked at","Woman","25 - 34","Some college credit, no degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2010-05-28,21788
84,"Yes","More than five years","Android, Gmail, Google Chrome, Google Drive, Google Maps, Google Play Store, Google Search, YouTube","No","Always","Sometimes","Always","Sometimes","Sometimes",NA,NA,"Rarely","Often","Often","Important","Somewhat agree","Neither agree nor disagree","Somewhat agree","Agree","Agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat aware","Slightly concerned","I'd like to have privacy online, but am aware that my information is being collected by Google and others.  But to be extremely concerned about it is counterproductive, because it would cause me to not enjoy the benefits of being online.","Sometimes","They keep a history of the sites I've been to, so that when I've forgotten a site name, I can look it up again.  It also helps me when I search for something else, it tries to give me information that is similar to what I have already been interested in.","I use a program to clear my browser weekly, which removed cookies and other content.","It was fun seeing all the places online that I have visited.  There were some good memories brought up.  Nothing disturbing that I could see.","No","Round","making information easy to access","make me feel comfortable browsing online by making things easy for me","making money from providing a platform for advertisers","Extremely beneficial","Extremely beneficial","Somewhat beneficial","Not at all harmful","Slightly harmful","Slightly harmful","I can't think of anything right now.","Agree","Yes","Yes","Agree","Improves my experience","I wouldn't delete","Yes","Yes","Agree","Improves my experience","I wouldn't delete","Yes","Yes","Strongly agree","Greatly improves my experience","I wouldn't delete","Yes","Yes","Agree","Improves my experience","I wouldn't delete","Yes","Yes","Agree","Improves my experience","I wouldn't delete","Yes","Yes","Strongly agree","Greatly improves my experience","I wouldn't delete","Yes","Yes","Agree","Improves my experience","I wouldn't delete","Yes","Yes","Agree","Improves my experience","I wouldn't delete","Yes","Yes","Strongly agree","Greatly improves my experience","I wouldn't delete","Happy","Thoughtful",6,"Appropriate","Absolutely appropriate","Absolutely appropriate","Delete after 18 months","No change","No change","I wouldn't want my YouTube or Maps activities to be deleted because my long history helps me in various ways.  On my daily YouTube viewing, I get to listen to content that is relevant to what I've been listening to, and they give some good suggestions for expanding my viewing.  Maps helps me on the various road trips I go on.  As for the Web activities, some are less important.  But I have been a user of the internet LONG before Google, and can tell you that prior to Google, it SUCKED looking for information, as you had to be so precise in wording questions, and a lot of the time I would just give up, and not get the information I wanted.","Google still collects activity data about me and still associates it with my account, but simply does not display it on the My Activity page.","Red","Disagree","I already knew this.  There is actually less collected about me than I thought was.","Unsure","I think perhaps all of the settings for things to do with my finances.","No","I have better things to do with my time, frankly, than to be reviewing this.","No","","I like my Google products.  I remember what it was like to not have them, and am thankful to have such resources available to me.  Just the other day I looked at one of my books from the encyclopedia (yes, I still own a set, lol), and though it was delightful to read, locating the information I wanted was slow...and I still needed to look up something on Google to help me have a full picture.","","Slightly concerned","There are things to do with finances that may be an issue.","Often","I get the content I want more easily.","Woman","55 - 64","Some college credit, no degree","I have an education in, or work in, the field of computer science, computer engineering or IT.",2011-08-25,39184
85,"Yes","More than five years","Android, Gmail, Google Chrome, Google Drive, Google Maps, Google Search, YouTube, Google Play Store","No","Always","Always","Often","Often","Often",NA,NA,"Often","Always","Always","Very important","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Agree","Neither agree nor disagree","Somewhat agree","Agree","Somewhat agree","Agree","Somewhat aware","Somewhat concerned","Because I am not exactly sure how it will be used in the future","Sometimes","Often in is in the way that it curates searches for me so that I save time with suggestions presented to me.","I do not really have any such strategies.","At first I thought that it seems to have only tracked my youtube viewing habits, but after a bit more inspection, it seems to have tracked my search history too. However, it seems to have tracked my search history from 4 years ago and older, nothing recent.","No","Round","To see what you are searching for","To see what interests you","To collect information about you","Slightly beneficial","Not at all beneficial","Not at all beneficial","Slightly harmful","Slightly harmful","Slightly harmful","Again, I am not exactly sure what and how this information can/will be used it the future.","Neither agree nor disagree","No","Unsure","Disagree","Does not change my experience","Immediately, I do not want this data to be collected","Yes","Unsure","Disagree","Does not change my experience","Immediately, I do not want this data to be collected",NA,NA,NA,NA,NA,"No","Unsure","Disagree","Does not change my experience","Immediately, I do not want this data to be collected","No","Unsure","Disagree","Does not change my experience","Immediately, I do not want this data to be collected",NA,NA,NA,NA,NA,"No","Unsure","Disagree","Does not change my experience","Immediately, I do not want this data to be collected","No","No","Neither agree nor disagree","Does not change my experience","Immediately, I do not want this data to be collected",NA,NA,NA,NA,NA,"confusion","curiosity",0,"Neutral","Neutral","Slightly inappropriate","Delete immediately","Delete immediately","Delete immediately","I do not think the time that Google saves me by storing this information is worth the worry that I have about what could possibly be done with the same information in the future.",NA,"Red","Neither agree nor disagree","I neither agree nor disagree because I am not sure about how the process of collecting the information even works. They have my recent youtube search history displayed and I assume that is from me watching videos while signed into my Google account. However, they do not have my recent Google web search history displayed and I know that I have done recent web searches while signed into my Google account.","Unsure","I would figure out a few things on how they go about choosing what information to save before I could answer this question correctly.","Unsure","Again, I would figure out a few things on how they go about choosing what information to save before I could answer this question correctly.","Unsure","","","I would figure out a few things on how they go about choosing what information to save before I could answer this question correctly.","Somewhat concerned","There is just too much that is unknown. Again, I have no idea how this information could be used in the future","Sometimes","Again, curated content. For example, on Youtube I often get suggestions for videos that I might like to see.","Man","25 - 34","Some college credit, no degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2006-04-25,0
86,"Yes","More than five years","Google Maps, YouTube, Google Search, Google Play Store, Gmail, Google Chrome, Android","No","Always","Always","Always",NA,"Always",NA,NA,"Always","Always","Often","Very important","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat aware","Somewhat concerned","I know they they collect but I really have nothing to hide","Rarely","I don't know that I have ever benefited from it ","I do not have any strategies. It is what it is ","I have no reaction. Looks normal to me ","No","Round","sell things","cater products","sell more things ","Not at all beneficial","Somewhat beneficial","Not at all beneficial","Not at all harmful","Not at all harmful","Not at all harmful","no i do not ","Agree","Yes","No","Agree","Does not change my experience","After a week","Yes","No","Agree","Does not change my experience","After a week","Yes","No","Agree","Does not change my experience","After a week","Yes","No","Agree","Does not change my experience","After a week","Yes","No","Agree","Does not change my experience","After a week","Yes","No","Agree","Does not change my experience","After a week","Yes","No","Disagree","Does not change my experience","After a week","Yes","No","Agree","Slightly improves my experience","After a week","Yes","No","Agree","Does not change my experience","After a week","no surprise","no reaction",10,"Slightly appropriate","Slightly appropriate","Appropriate","Delete after 3 months","Delete after 3 months","Delete after 3 months","I would change after one week","Google still collects activity data about me, but does not associate it with my account","Red","Agree","it shows what they collecct","No","wouldn't change anything","No","wouldn't change anything ","No","","because it doesn't worry me ","","Moderately concerned","i have nothing to hide","Sometimes","i'm sure it helps some things ","Man","35 - 44","Some college credit, no degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2012-01-14,26288
